Sample,T (degC/h),MnO (mol%),Q3,Q3,Q3,Q3
Sample,T (degC/h),MnO (mol%),Long component,Long component,Short component,Short component
Sample,T (degC/h),MnO (mol%),T 1 (s),%(+-6.4%),T 1 (s),% (+-6.4%)
N33M0,NHT,0.0,112+-10,-,-,-
,425/3,,1027+-102,-,-,-
,425/6,,1235+-106,-,-,-
,475/6,,1828+-119,85.5,126.3+-11.5,14.5
,525/6,,2113+-160,75.6,161+-15,24.4
,,,,,,
N33M1,NHT,0.1,20.0+-2.0,-,-,-
,425/3,,102.0+-5.7,-,-,-
,425/6,,114.2+-8.4,58.2,13.6+-1.5,41.8
,425/9,,1014+-94,48.8,28.3+-2.2,51.2
,425/12,,1097.0+-105,29.2,78.0+-8.0,71.0
,475/6,,135.6+-10.5,50.5,14.4+-1.6,49.5
,525/6,,169.0+-12.0,13.5,19.0+-2.0,86.5
,,,,,,
N33M2,NHT,0.2,8.1+-0.7,-,-,-
,425/6,,13.3+-1.1,56.7,2.3+-0.3,43.4
,425/9,,20.0+-2.1,58.0,3.0+-0.2,42.0
,475/6,,13.0+-1.0,64.1,3.1+-0.3,35.9
,525/6,,22.6+-2.0,68.2,4.2+-0.4,31.8
