Sample,Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),Tg   (degC),Tx   (degC),Tp    1  (degC),Tp    2  (degC),Tx   -  Tg   (degC)
Sample,GeO2,SiO2,Nb2O5,K2O,Tg   (degC),Tx   (degC),Tp    1  (degC),Tp    2  (degC),Tx   -  Tg   (degC)
1.1,50,0,25,25,624,662,675,,38
1.2,40,10,25,25,638,681,693,,43
1.3,30,20,25,25,645,699,715,953,54
1.4,20,30,25,25,654,713,730,914,59
1.5,10,40,25,25,659,731,749,920,72
1.6,0,50,25,25,671,749,766,952,78
2.1,60,0,20,20,626,717,735,,91
2.2,50,10,20,20,646,748,785,,102
2.3,40,20,20,20,654,783,814,,129
2.4,30,30,20,20,667,807,849,,140
2.5,20,40,20,20,678,847,-,,169
2.6,10,50,20,20,693,868,-,,175
2.7,0,60,20,20,700,854,902,,154
3.1,40,0,30,30,611,644,653,708,33
3.2,30,10,30,30,613,650,665,716,37
3.3,20,20,30,30,622,664,679,727,42
3.4,10,30,30,30,634,680,696,737,46
3.5,0,40,30,30,640,693,713,759,53
