R value,DSC T g (+-4 degC),DTA T g (degC)
0,271,256
0.012,,265
0.022,,271
0.025,284,
0.034,,277
0.045,,280
0.050,303,
0.069,,291
0.075,317,
0.094,,305
0.100,320,
0.121,,312
0.125,336,
0.148,,332
0.150,346,
0.175,352,
0.176,,342
0.200,357,357
0.225,372,
0.229,,363
0.250,381,
0.260,,370
0.275,389,
0.290,393,
0.294,,381
0.300,395,
0.310,401,
0.320,,393
0.325,410,
0.350,420,
0.357,,411
0.375,415,
0.400,415,400
0.425,417,
0.443,,390
0.450,408,
0.475,402,
0.489,,376
0.500,397,
0.525,391,
0.536,,351
0.550,380,
0.586,,329
0.628,,318
