,Bi f7,FWHM,Bif7 (5+),FWHM,Bi f5,FWHM,Bif5 (5+),FWHM,O1s(L),FWHM,O1s(H),FWHM
Group A,Group A,Group A,Group A,Group A,Group A,Group A,Group A,Group A,Group A,Group A,Group A,Group A
0 B,159.61,1.41,,,164.94,1.34,,,530.57,1.53,531.88,2.05
10 B,159.53,1.38,,,164.85,1.33,,,530.79,1.87,532.08,1.88
20 B,159.45,1.42,,,164.77,1.37,,,530.69,1.84,531.93,1.94
30 B,159.23,1.50,161.46,2.44,164.53,1.55,166.77,2.46,530.57,1.86,531.89,1.71
40 B,159.10,1.39,,,164.42,1.30,,,530.4,1.83,531.74,1.97
70 B,159.28,1.35,,,164.61,1.28,,,530.63,2.12,532.08,1.97
,,,,,,,,,,,,
Group B,Group B,Group B,Group B,Group B,Group B,Group B,Group B,Group B,Group B,Group B,Group B,Group B
0 B,159.03,1.43,,,164.35,1.34,,,530.23,1.77,531.611,1.81
15 B,159.07,1.47,,,164.39,1.39,,,530.44,2.09,531.84,2.19
20 B,158.96,1.41,,,164.28,1.33,,,530.43,2.16,531.72,2.23
25 B,158.86,1.50,,,164.19,1.45,,,530.37,2.15,531.82,2.24
30 B,158.87,1.48,160.32,1.76,164.19,1.41,165.60,1.67,530.38,2.18,531.85,1.79
40 B,158.74,1.37,,,164.07,1.31,,,530.22,2.16,531.54,2.24
