System,Atom pair,Coordination number,Distance (nm),Reference
"Glass, y=1.03",P-OT,2.0+-0.1,0.151+-0.002,This work
,P-OB,2.0+-0.1,0.157+-0.002,
,Zn-O,3.9+-0.2,0.194+-0.002,
,O-O,3.7+-0.2,0.251*,
"Glass, y=1.20",P-OT,2.5+-0.1,0.151+-0.002,This work
,P-OB,1.5+-0.1,0.158+-0.002,
,Zn-O,3.9+-0.2,0.195+-0.002,
,O-O,3.8+-0.2,0.251*,
"Glass, y=1.86",P-OT,3.0+-0.1,0.151+-0.002,This work
,P-OB,1.0+-0.1,0.159+-0.002,
,Zn-O,2.8+-0.1,0.194+-0.002,
,,1.3+-0.1,0.207+-0.003,
,O-O,3.6+-0.2,0.251+-0.002,
"Glass, y=2.49",P-OT,3.5+-0.1,0.153+-0.001,This work
,P-OB,0.5+-0.1,0.159+-0.001,
,Zn-O,3.0+-0.1,0.196+-0.002,
,,1.2+-0.1,0.210+-0.003,
,O-O,3.4+-0.2,0.252+-0.002,
ZnP4O11 crystal,Zn-O,6.0,0.207,[24]
b-Zn(PO3)2 crystal,Zn-O,4.0,0.195,"[25,26]"
g-Zn2P2O7 crystal,Zn-O,5.0,0.206,[27]
a-Zn3(PO4)2 crystal,Zn-O,4.0,0.197,[28]
