,fu06 dry,fu06 dry,,fu06-07,fu06-07,,fu06-06,fu06-06,,fu06-03,fu06-03,,fu06-04,fu06-04,,fu06-05,fu06-05,,fu06-10,fu06-10
,T,C P,,T,C P,,T,C P,,T,C P,,T,C P,,T,C P,,T,C P
,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK
g,340.2,52.304,g,340.1,51.645,g,340.2,50.865,g,340.2,52.182,g,340.2,53.373,g,340.2,50.612,g,340.2,50.539
g,365.2,54.253,g,365.2,53.576,g,365.2,52.884,g,365.2,54.138,g,365.2,55.285,g,365.2,52.561,g,365.2,52.537
g,390.2,56.006,g,390.2,55.345,g,390.2,54.728,g,390.2,55.867,g,390.2,57.002,g,390.2,54.357,g,390.2,54.333
g,415.2,57.592,g,415.2,56.908,g,415.2,56.364,g,415.2,57.394,g,415.2,58.656,g,415.2,55.951,g,415.2,55.972
g,440.2,59.044,g,440.2,58.362,g,440.2,57.861,g,440.2,58.822,g,440.2,60.151,g,440.2,57.464,g,440.2,57.508
g,465.2,60.345,g,465.2,59.684,g,465.2,59.266,g,465.2,60.175,g,465.2,61.569,g,465.2,58.865,g,465.2,58.935
g,490.2,61.539,g,490.2,60.901,g,490.2,60.568,g,490.2,61.412,g,490.2,62.786,g,490.2,60.153,g,490.2,60.209
g,515.2,62.685,g,515.2,62.078,g,515.2,61.822,g,515.2,62.613,g,515.2,64.012,g,515.2,61.393,g,515.2,61.509
g,540.2,63.595,g,540.2,63.055,g,540.2,62.847,g,540.2,63.606,g,540.2,65.042,g,540.2,62.467,g,540.2,62.568
g,565.3,64.479,g,565.3,64.012,g,565.3,63.852,g,565.3,64.592,g,565.3,66.085,g,565.2,63.563,g,565.3,63.689
g,590.3,65.332,g,590.3,64.895,g,590.3,64.827,g,590.2,65.533,g,590.3,67.087,g,590.2,64.627,g,590.3,64.753
g,615.2,66.112,g,615.3,65.718,g,615.2,65.885,g,615.2,66.521,g,615.3,68.149,g,615.2,65.684,g,615.3,65.871
g,640.3,66.784,g,640.3,66.559,g,640.3,66.816,g,640.3,67.344,g,640.3,69.129,g,640.3,67.053,g,640.3,67.165
g,665.3,67.398,g,665.3,67.516,g,665.3,68.208,g,665.3,68.215,g,665.3,70.199,gt,665.2,68.592,gt,665.3,68.814
g,690.2,68.199,g,690.2,68.334,g,690.2,69.057,gt,690.2,69.869,gt,690.3,72.098,gt,690.2,70.462,gt,690.2,70.563
g,715.2,68.900,g,715.2,69.087,g,715.2,69.846,gt,715.2,71.756,gt,715.3,74.241,gt,715.2,72.487,gt,715.2,73.377
g,740.3,68.887,gt,740.3,70.290,g,740.3,70.473,gt,740.3,74.003,gt,740.3,79.115,gt,740.2,78.293,gt,740.3,81.763
g,765.2,71.386,gt,765.3,72.975,gt,765.2,71.809,gt,765.2,78.822,gt,765.3,95.155,l,765.2,97.110,l,765.2,95.490
g,790.2,70.957,gt,790.3,73.498,gt,790.2,75.943,gt,790.2,95.622,l,790.2,100.599,l,790.2,97.805,l,790.2,97.769
gt,815.3,72.004,gt,815.3,75.632,gt,815.3,84.037,l,815.3,99.979,l,815.3,98.594,,,,(l,815.3,116.00)
gt,840.3,72.792,gt,840.3,84.785,l,840.3,99.939,l,840.3,97.490,(l,840.3,109.14),,,,,,
gt,865.2,73.765,l,865.3,99.588,l,865.2,98.430,l,865.2,98.265,,,,,,,,,
gt,890.3,74.912,l,890.3,97.294,l,890.2,96.707,,,,,,,,,,,,
gt,915.3,76.257,l,915.3,95.756,l,915.3,96.078,,,,,,,,,,,,
gt,940.2,80.251,l,940.2,94.756,l,940.2,93.080,,,,,,,,,,,,
l,965.2,96.711,,,,,,,,,,,,,,,,,,
l,990.2,97.657,,,,,,,,,,,,,,,,,,
l,1015,96.059,,,,,,,,,,,,,,,,,,
