Element,,S1 (8%),S1 (8%),S1 (8%),S2 (16%),S2 (16%),S2 (16%),S3 (25%),S3 (25%),S3 (25%)
Element,Series,at.%,wt.%,Error analysis wt.%,at.%,wt.%,Error analysis wt.%,at.%,wt.%,Error analysis wt.%
O,K,49.30,35.04,3.4,50.67,34.81,3.2,52.1,35.58,3.1
Si,K,27.10,33.81,1.1,28.92,34.88,1.1,28.8,34.52,1.1
Na,K,8.05,8.22,0.4,9.76,9.64,0.5,8.77,8.60,0.4
Ca,K,4.30,7.65,0.2,4.63,7.98,0.2,5.26,8.99,0.2
Au,L,0.36,3.11,0.2,0.38,3.23,0.2,0.44,3.67,0.2
C,K,5.60,2.99,0.6,0.00,0.00,0.0,0.00,0.00,0.0
Mg,K,2.09,2.26,0.1,2.24,2.34,0.1,1.93,2.00,0.1
Al,K,0.80,0.96,0.1,0.85,0.99,0.1,0.00,0.00,0.0
Mn,K,2.20,5.36,0.2,2.15,5.08,0.1,2.12,4.97,0.1
Zn,K,0.21,0.60,0.1,0.38,1.05,0.1,0.60,1.66,0.1
