Glass,Composition (mol%) (+-0.5 mol%),Composition (mol%) (+-0.5 mol%),Composition (mol%) (+-0.5 mol%),Composition (mol%) (+-0.5 mol%),Composition (mol%) (+-0.5 mol%),Composition (mol%) (+-0.5 mol%),Composition (mol%) (+-0.5 mol%),Er3+conc. (1020 cm-3)
Glass,Sr(PO3)2,MgF2,CaF2,SrF2,PbF2,AlF3,ErF3,Er3+conc. (1020 cm-3)
(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses,(a) Fluoride phosphate glasses
FP 4,4,9.3,27.0,21.1,,36.8,1.8,4
FP 8,8,9.9,30.1,16.7,,34.8,0.5,1
FP20,20,9.7,21.2,17.7,,29.1,2.3,4
FP20/Pb,20,9.6,15.4,12.8,10.0,28.7,3.5,6
,,,,,,,,
,KPO3,Mg(PO3)2,Ca(PO3)2,Ba(PO3)2,Zn(PO3)2,Al(PO3)3,Er(PO3)3,
(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses,(b) Metaphosphate glasses
KBaP,35.0,,,45.0,,19.1,0.9,0.75
CaZnBaP,,7.0,19.6,18.9,21.5,21.5,11.5,6
