Sample (x),Fe 2p3/2 (eV),Fe 2p1/2 (eV),DFe 2p (eV),O 1s (eV),B 1s (eV)
0.000,-,-,-,531.70,192.45
0.000,-,-,-,(2.65),(2.25)
0.025,710.47,723.97,13.50,531.10,191.80
0.025,(7.20),(6.30),13.50,(2.60),(2.15)
0.075,710.65,724.15,13.50,530.90,191.80
0.075,(5.50),(3.90),13.50,(2.70),(2.25)
0.100,710.60,724.10,13.50,530.75,191.50
0.100,(5.65),(4.60),13.50,(2.75),(2.25)
0.150,710.50,723.95,13.45,531.00,191.80
0.150,(4.65),(4.30),13.45,(2.60),(2.25)
Fe2O3 powder,710.80,724.18,13.38,,-
B2O3 powder,-,-,-,533.24,193.70
,,,,,(2.15)
