Fe25Se75 milled for 72h,Sub component,Phase,IS mms-1,QS mms-1,G mms-1,HF mms-1,Relative absorption area (%)
2001,Sextet,a-Fe,0.00,0.00,0.65,33.10,11
2001,Doublet,b-FeSe,0.41,0.73,1.06,-,23
2001,Fe7Se8,0.69,0.01,1.00,21.60,28,
2001,Sextet (B),0.68,0.00,0.80,17.70,19,
2001,Sextet (C),0.94,0.15,0.96,9.90,19,
2009,Sextet,a-Fe,0.00,0.00,0.65,33.10,12
2009,Doublet,b-FeSe,0.35,0.67,0.68,-,18
2009,Fe7Se8,0.64,0.01,1.00,20.90,30,
2009,Sextet (B),0.62,0.00,0.80,17.03,20,
2009,Sextet (C),0.88,0.15,0.96,9.27,20,
