System,Composition,Ref.,T  g,T  x,T  p,SHG,Crystalline phases
Si.Nb.Li,46.1Si-15.4Nb-38.5Li,[14],522,,,,LiNbO3
Si.Nb.Li,43.1Si-17.7Nb-39.2Li,[14],528,,,,LiNbO3
Si.Nb.Li,40Si-20Nb-40Li,[14],532,,,,LiNbO3
Si.Nb.Li,45Si-25Nb-30Li,[14],537,,,,LiNbO3
,,,,,,,
Si.Nb.K,52Si-24Nb-24K,[9],688,,,,"K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,50Si-27Nb-23K,[9],684,,,,"K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,50Si-23Nb-27K,[9],674,,,,"K3Nb3Si2O13, KNbSi2O7"
,,,,,,,
Si.Nb.K,20Si-40Nb-40K,[4],567,,626,235,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,25Si-37.5Nb-37.5K,[4],587,,672,58,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,33.4Si-33.3Nb-33.3K,[4],611,,708,,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,40Si-30Nb-30K,[4],634,,730,0.5,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,50Si-25Nb-25K,[4],672,,784,1.7,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,60Si-20Nb-20K,[4],704,,861,69,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,66.7Si-16.6Nb-16.6K,[4],707,,,300,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,40Si-20Nb-40K,[4],545,,,54,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,35Si-25Nb-40K,[4],551,,693,20,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
Si.Nb.K,30Si-25Nb-45K,[4],512,,589,,"KNbO3, K3Nb3Si2O13, KNbSi2O7"
,,,,,,,
Si.Nb.K,66.6Si-16.7Nb-16.7K,"[7,8]",733,,,0.08,KNbSi2O7
Si.Nb.K,63.6Si-18.2Nb-18.2K,"[7,8]",724,,,0.6,KNbSi2O7
Si.Nb.K,60Si-20Nb-20K,"[7,8]",721,,,0.8,KNbSi2O7
Si.Nb.K,55.6Si-22.2Nb-22.2K,"[7,8]",705,,,0.9,KNbSi2O7
Si.Nb.K,50Si-25Nb-25K,"[7,8]",688,,,1.2,KNbSi2O7
Si.Nb.K,40Si-30Nb-30K,[12],657,,,,K3Nb3Si2O13
,,,,,,,
Ge.Nb.Li,45Ge-30N-25Li,[2],550,,,,"LiNbO3, Li8GeO6"
Ge.Nb.Li,45Ge-30Nb-25Li+10Al,[2],560,,,,"LiNbO3, Li8GeO6"
Ge.Nb.Li,40Ge-30Nb-30Li+10Al,[2],540,,,,"LiNbO3, Li8GeO6"
Ge.Nb.Li,45Ge-25Nb-30Li,[2],530,,,,"LiNbO3, Li8GeO6"
,,,,,,,
Ge.Nb.K.Na,50Ge-25Nb-25K,[13],622,668,,0,"Na x K1-  x NbO3, NaNbO3, NaNbGeO5, K3.8Nb5Ge3O20.4"
Ge.Nb.K.Na,50Ge-25Nb-20K-5Na,[13],607,678,,0,"Na x K1-  x NbO3, NaNbO3, NaNbGeO5, K3.8Nb5Ge3O20.4"
Ge.Nb.K.Na,50Ge-25Nb-15K-10Na,[13],600,702,,0,"Na x K1-  x NbO3, NaNbO3, NaNbGeO5, K3.8Nb5Ge3O20.4"
Ge.Nb.K.Na,50Ge-25Nb-10K-15Na,[13],587,751,,6,"Na x K1-  x NbO3, NaNbO3, NaNbGeO5, K3.8Nb5Ge3O20.4"
Ge.Nb.K.Na,50Ge-25Nb-5K-20Na,[13],589,765,,1.5,"Na x K1-  x NbO3, NaNbO3, NaNbGeO5, K3.8Nb5Ge3O20.4"
Ge.Nb.K.Na,50Ge-25Nb-25Na,[13],588,781,,0,"Na x K1-  x NbO3, NaNbO3, NaNbGeO5, K3.8Nb5Ge3O20.4"
,,,,,,,
Ge.Nb.K,60Ge-20Nb-20K,"[3,10]",625,732,,,K3.8Nb5Ge3O20.4
Ge.Nb.K,50Ge-20Nb-30K,"[3,10]",592,692,,,K3.8Nb5Ge3O20.4
Ge.Nb.K,50Ge-25Nb-25K,"[3,10]",622,668,,~0.01,K3.8Nb5Ge3O20.4
Ge.Nb.K,50Ge-30Nb-20K,"[3,10]",627,697,,,K3.8Nb5Ge3O20.4
Ge.Nb.K,40Ge-30Nb-30K,"[3,10]",612,653,,,K3.8Nb5Ge3O20.4
,,,,,,,
Si.Ge.Nb.K,50Ge-25Nb-25K,[11],619,,679,,"K3.8Nb5Ge3O20.4, K3.8Nb5(Ge,Si)3O20.4"
Si.Ge.Nb.K,25Si-25Ge-25Nb-25K,[11],655,,720,,"K3.8Nb5Ge3O20.4, K3.8Nb5(Ge,Si)3O20.4"
Si.Ge.Nb.K,50Si-25Nb-25K,[11],670,,761,,"K3.8Nb5Ge3O20.4, K3.8Nb5(Ge,Si)3O20.4"
