Sample,s ov25degC (Scm-1),E a +-0.01   eV,log s 0 +-0.1   s 0 in (Scm-1K-1)
Precursor glass,1.1x10-9,0.64,1.8
Single heat treatment,Single heat treatment,Single heat treatment,Single heat treatment
SHT7,9.6x10-7,0.37,0.2
SHT8,2.2x10-5,0.32,0.7
SHT9,2.7x10-4,0.29,1.3
SHT10,1.3x10-3,0.27,1.7
Double heat treatment,Double heat treatment,Double heat treatment,Double heat treatment
DHT10,8.8x10-4,0.26,1.3
DHT30,5.5x10-4,0.26,1.1
DHT60,6.2x10-4,0.26,1.2
DHT120,5.3x10-4,0.25,1.0
DHT240,5.8x10-4,0.25,1.0
DHT480,3.1x10-4,0.25,0.8
