Sample,Fluence per pulse (mJ cm-2),Number of pulses,Measured grating diffraction efficiency e meas (+-1x10-5),Calculated grating diffraction efficiency e cal,Surface expansion (nm) (+-3)
ZBLA,50,10000,0.4x10-3,1.6x10-3,65
,,3000,0.3x10-3,6x10-3,40
,,1000,0.04x10-3,-,-
,110,3000,2.2x10-3,1x10-3,52
,,1000,0.4x10-3,4x10-3,33
,,300,0.3x10-3,-,-
,,,,,
ZBLALi,50,10000,6.2x10-3,6x10-3,40
,,3000,1.0x10-3,1.5x10-3,20
,,1000,-,-,-
,110,10000,3.1x10-3,2.7x10-3,27
,,3000,1.8x10-3,1.7x10-3,21
,,1000,0.5x10-3,-,-
,,,,,
ZBLAN,50,10000,-,-,-
,110,10000,1.8x10-3,3.6x10-3,31
,,3000,0.8x10-3,0.1x10-3,5
,,1000,0.2x10-3,-,-
