Component,AN-102,AN-102,AZ-102,AZ-102
Component,Calculated,XRD,Calculated,XRD
Kyanite (Al2SiO5),6.3,8.2,8.7,7.1
Wollastonite (CaSiO3),10.0,11.1,12.6,12.0
Hematite (Fe2O3),3.8,3.7,4.2,3.5
Olivine (Mg2SiO4),2.3,1.9,5.1,2.7
Quartz (SiO2),23.2,25.3,27.6,28.4
Rutile (TiO2),1.0,1.2,1.1,0.6
Zincite (ZnO),2.5,1.1,2.9,0.9
Zircon (ZrSiO4),3.3,2.1,3.7,2.5
NaNO3,6.1,7.2,0.6,ND
Al(NO3)3*9H2O,5.6,ND,0.1,ND
H3BO3,12.9,ND,14.8,ND
Li2CO3,5.8,ND,8.8,ND
NaOH,3.4,ND,0.2,ND
NaNO2,4.2,ND,2.1,ND
Na2CO3,3.2,ND,4.4,ND
Total,93.4,61.8,96.9,57.7
