,,P-OT,P-OB,Na-O,OO,BB,PB,PP,NaNa
SG-P40B20Na40 250degC,r (A),1.48+-0.02,1.58+-0.02,2.31+-0.02,2.51+-0.02,2.65+-0.02,2.75+-0.02,2.92+-0.02,3.10+-0.02
SG-P40B20Na40 250degC,CN,1.5+-0.2,2.4+-0.2,5.1+-0.2,4.7+-0.2,1.0+-1.2,1.1+-1.2,1.9+-0.2,5.3+-0.2
SG-P40B20Na40 250degC,s,0.01,0.04,0.16,0.09,0.06,0.01,0.12,0.18
,,,,,,,,,
SG-P40B20Na40 350degC,r (A),1.48+-0.02,1.58+-0.02,2.30+-0.02,2.51+-0.02,2.65+-0.02,2.76+-0.02,2.92+-0.02,3.11+-0.02
SG-P40B20Na40 350degC,CN,1.7+-0.2,2.5+-0.2,5.2+-0.2,5.0+-0.2,1.0+-1.2,1.3+-1.2,2.0+-0.2,5.2+-0.2
SG-P40B20Na40 350degC,s,0.02,0.04,0.14,0.08,0.06,0.01,0.12,0.18
,,,,,,,,,
MQ-P40B20Na40,r (A),1.46+-0.02,1.55+-0.02,2.31+-0.02,2.47+-0.02,2.68+-0.02,2.75+-0.02,2.91+-0.02,3.13+-0.02
MQ-P40B20Na40,CN,1.7+-0.2,2.4+-0.2,5.4+-0.2,4.5+-0.2,0.3+-1.2,1.8+-1.2,2.1+-0.2,6.2+-0.2
MQ-P40B20Na40,s,0.02,0.04,0.13,0.08,0.06,0.01,0.13,0.27
