Sample number,Crystal space group,a 0 (nm),c 0 (nm),Volume (nm3)
B15Gd43,P63/m,0.9400,0.6876,0.5262
B15Gd48,P63/m,0.9406,0.6878,0.5270
B15Gd50,P63/m,0.9406,0.6875,0.5268
B0Gd30,P63/m,0.9415,0.6882,0.5283
B5Gd34,P63/m,0.9406,0.6874,0.5267
B10Gd38,P63/m,0.9404,0.6878,0.5268
B20Gd48,P63/m,0.9393,0.6879,0.5257
Na15Gd47,P63/m,0.9400,0.6876,0.5262
Na30Gd40,P63/m,0.9405,0.6878,0.5269
Al2Gd48,P63/m,0.9403,0.6874,0.5263
Al10Gd36,P63/m,0.9394,0.6868,0.524
PA0Gd70,P63/m,0.9406,0.6873,0.5266
PA20Gd65,P63/m,0.9401,0.6876,0.5263
PA35Gd60,P63/m,0.9399,0.6879,0.5262
PA50Gd50,P63/m,0.9397,0.6878,0.5261
PA62.5Gd40,P63/m,0.9399,0.6880,0.5264
PA90Gd50,P63/m,0.9410,0.6881,0.5276
PA100Gd50,P63/m,0.9411,0.6885,0.5282
