x,0,0.357,0.556
Interatomic distance r  i-j  (A),,,
r As-Br,-,2.39(3),2.39(1)
r As-S,2.29(1),2.26(1),2.27(1)
r S-S,-,2.09(5),2.08(6)
,,,
Partial coordination number n  i-j,Partial coordination number n  i-j,Partial coordination number n  i-j,Partial coordination number n  i-j
n As-Br,-,0.27(5),0.68(8)
n As-S,2.82(2),2.71(2),2.19(6)
n S-S,-,0.18(6),0.56(4)
,,,
Total coordination number N  i,Total coordination number N  i,Total coordination number N  i,Total coordination number N  i
N As,2.82,2.98,2.87
N S,1.88,1.99,2.02
N Br,-,0.97,1.08
