x,Neutron diffraction,Neutron diffraction,X-ray diffraction,X-ray diffraction,X-ray diffraction
,0.1,0.2,0,0.1,0.2
Interatomic distance (A) r  i-j,,,,,
r As-Br,2.37(2),2.37(1),-,2.38(2),2.36(1)
r As-S,2.27(3),2.27(1),2.29(1),2.27(1),2.23(5)
r S-S,1.96(4),2.02(2),-,2.05(3),1.97(2)
,,,,,
Partial coordination number n  i-j,Partial coordination number n  i-j,Partial coordination number n  i-j,Partial coordination number n  i-j,Partial coordination number n  i-j,Partial coordination number n  i-j
n As-Br,0.27(3),0.95(1),-,0.35(2),0.93(6)
n As-S,2.19(2),2.10(4),2.82(2),2.67(2),2.14(2)
n S-S,0.55(6),1.13(5),-,0.68(3),1.27(5)
,,,,,
Total coordination number N  i,Total coordination number N  i,Total coordination number N  i,Total coordination number N  i,Total coordination number N  i,Total coordination number N  i
N As,2.46,3.05,2.82,3.02,3.07
N S,1.65,1.83,1.88,2.02,1.98
N Br,0.82,0.95,-,1.05,0.93
